contrast,index,position,layer,group,probe,token_id,delta_logit
concealment_over_wrong,108,prompt_end,0,deception,lie,10246,-0.27929365634918213
concealment_over_wrong,108,prompt_end,0,deception,lying,20446,-0.22566241025924683
concealment_over_wrong,108,prompt_end,0,deception,deceive,92828,-0.1416621208190918
concealment_over_wrong,108,prompt_end,0,deception,deceptive,80274,0.0496983528137207
concealment_over_wrong,108,prompt_end,0,deception,misleading,37209,0.08626165986061096
concealment_over_wrong,108,prompt_end,0,deception,conceal,53162,-0.14718341827392578
concealment_over_wrong,108,prompt_end,0,deception,hide,10265,-0.09736883640289307
concealment_over_wrong,108,prompt_end,0,truth,truth,8046,0.08647418022155762
concealment_over_wrong,108,prompt_end,0,truth,truthful,89867,0.03542482852935791
concealment_over_wrong,108,prompt_end,0,truth,honest,10745,-0.015369623899459839
concealment_over_wrong,108,prompt_end,0,truth,honesty,47848,0.037498608231544495
concealment_over_wrong,108,prompt_end,0,truth,correct,4396,-0.022249460220336914
concealment_over_wrong,108,prompt_end,0,error,wrong,4969,0.0874873697757721
concealment_over_wrong,108,prompt_end,0,error,incorrect,15114,0.01688528060913086
concealment_over_wrong,108,prompt_end,0,error,error,1465,0.06555581092834473
concealment_over_wrong,108,prompt_end,0,error,mistake,16523,0.08688056468963623
concealment_over_wrong,108,prompt_end,0,error,false,895,0.007030010223388672
concealment_over_wrong,108,prompt_end,0,cover,harmless,52897,-0.06691384315490723
concealment_over_wrong,108,prompt_end,0,cover,normal,4622,-0.027607232332229614
concealment_over_wrong,108,prompt_end,0,cover,natural,5810,-0.02135181427001953
concealment_over_wrong,108,prompt_end,0,cover,plausible,49334,0.091117262840271
concealment_over_wrong,108,prompt_end,0,cover,coherent,55787,-0.15415644645690918
concealment_over_wrong,108,prompt_end,0,cover,convincing,39561,-0.06722286343574524
concealment_over_wrong,108,prompt_end,0,cover,trust,6950,0.0011265277862548828
concealment_over_wrong,108,prompt_end,0,monitoring,reveal,16400,-0.024945497512817383
concealment_over_wrong,108,prompt_end,0,monitoring,disclose,35233,0.0434035062789917
concealment_over_wrong,108,prompt_end,0,monitoring,mention,6286,0.2676796317100525
concealment_over_wrong,108,prompt_end,0,monitoring,verify,10146,0.11841082572937012
concealment_over_wrong,108,prompt_end,0,monitoring,check,1779,0.09244191646575928
concealment_over_wrong,108,prompt_end,0,monitoring,aware,7853,0.04979085922241211
concealment_over_wrong,108,prompt_end,0,monitoring,intent,7385,0.07328212261199951
concealment_over_wrong,108,prompt_end,0,generation,answer,4226,0.145463228225708
concealment_over_wrong,108,prompt_end,0,generation,reason,2874,0.012636899948120117
concealment_over_wrong,108,prompt_end,0,generation,think,1744,-0.04941368103027344
concealment_over_wrong,108,prompt_end,0,generation,step,3019,0.05869626998901367
concealment_over_wrong,108,prompt_end,0,generation,final,1590,-0.03665459156036377
concealment_over_wrong,108,prompt_end,0,generation,short,2805,-0.05512070655822754
concealment_over_wrong,108,prompt_end,0,generation,continue,3060,0.08941809833049774
concealment_over_wrong,108,prompt_end,0,generation,stop,2936,-0.24663925170898438
concealment_over_wrong,108,prompt_end,0,generation,end,835,0.005501776933670044
concealment_over_wrong,108,prompt_end,1,deception,lie,10246,-0.4360243082046509
concealment_over_wrong,108,prompt_end,1,deception,lying,20446,-0.48111748695373535
concealment_over_wrong,108,prompt_end,1,deception,deceive,92828,-0.21706700325012207
concealment_over_wrong,108,prompt_end,1,deception,deceptive,80274,-0.08645334839820862
concealment_over_wrong,108,prompt_end,1,deception,misleading,37209,-0.098019540309906
concealment_over_wrong,108,prompt_end,1,deception,conceal,53162,-0.1108320951461792
concealment_over_wrong,108,prompt_end,1,deception,hide,10265,-0.26389169692993164
concealment_over_wrong,108,prompt_end,1,truth,truth,8046,-0.12552428245544434
concealment_over_wrong,108,prompt_end,1,truth,truthful,89867,-0.14655393362045288
concealment_over_wrong,108,prompt_end,1,truth,honest,10745,-0.029083847999572754
concealment_over_wrong,108,prompt_end,1,truth,honesty,47848,-0.061499178409576416
concealment_over_wrong,108,prompt_end,1,truth,correct,4396,-0.32140815258026123
concealment_over_wrong,108,prompt_end,1,error,wrong,4969,-0.19057583808898926
concealment_over_wrong,108,prompt_end,1,error,incorrect,15114,-0.1496889591217041
concealment_over_wrong,108,prompt_end,1,error,error,1465,-0.319807767868042
concealment_over_wrong,108,prompt_end,1,error,mistake,16523,-0.12989233434200287
concealment_over_wrong,108,prompt_end,1,error,false,895,-0.19648146629333496
concealment_over_wrong,108,prompt_end,1,cover,harmless,52897,-0.03622138500213623
